,abstract
18,"Deeper neural networks are more difficult to train. We present a residual
learning framework to ease the training of networks that are substantially
deeper than those used previously. We explicitly reformulate the layers as
learning residual functions with reference to the layer inputs, instead of
learning unreferenced functions. We provide comprehensive empirical evidence
showing that these residual networks are easier to optimize, and can gain
accuracy from considerably increased depth. On the ImageNet dataset we evaluate
residual nets with a depth of up to 152 layers---8x deeper than VGG nets but
still having lower complexity. An ensemble of these residual nets achieves
3.57% error on the ImageNet test set. This result won the 1st place on the
ILSVRC 2015 classification task. We also present analysis on CIFAR-10 with 100
and 1000 layers.
  The depth of representations is of central importance for many visual
recognition tasks. Solely due to our extremely deep representations, we obtain
a 28% relative improvement on the COCO object detection dataset. Deep residual
nets are foundations of our submissions to ILSVRC & COCO 2015 competitions,
where we also won the 1st places on the tasks of ImageNet detection, ImageNet
localization, COCO detection, and COCO segmentation.Comment: Tech repor"
19,"Automated facial identification and facial expression recognition have been
topics of active research over the past few decades. Facial and expression
recognition find applications in human-computer interfaces, subject tracking,
real-time security surveillance systems and social networking. Several holistic
and geometric methods have been developed to identify faces and expressions
using public and local facial image databases. In this work we present the
evolution in facial image data sets and the methodologies for facial
identification and recognition of expressions such as anger, sadness,
happiness, disgust, fear and surprise. We observe that most of the earlier
methods for facial and expression recognition aimed at improving the
recognition rates for facial feature-based methods using static images.
However, the recent methodologies have shifted focus towards robust
implementation of facial/expression recognition from large image databases that
vary with space (gathered from the internet) and time (video recordings). The
evolution trends in databases and methodologies for facial and expression
recognition can be useful for assessing the next-generation topics that may
have applications in security systems or personal identification systems that
involve ""Quantitative face"" assessments.Comment: 16 pages, 4 figures, 3 tables, International Journal of Computer
  Science and Engineering Survey, October, 201"
20,"The convolution layer has been the dominant feature extractor in computer
vision for years. However, the spatial aggregation in convolution is basically
a pattern matching process that applies fixed filters which are inefficient at
modeling visual elements with varying spatial distributions. This paper
presents a new image feature extractor, called the local relation layer, that
adaptively determines aggregation weights based on the compositional
relationship of local pixel pairs. With this relational approach, it can
composite visual elements into higher-level entities in a more efficient manner
that benefits semantic inference. A network built with local relation layers,
called the Local Relation Network (LR-Net), is found to provide greater
modeling capacity than its counterpart built with regular convolution on
large-scale recognition tasks such as ImageNet classification"
21,"In the domain of Biometrics, recognition systems based on iris, fingerprint
or palm print scans etc. are often considered more dependable due to extremely
low variance in the properties of these entities with respect to time. However,
over the last decade data processing capability of computers has increased
manifold, which has made real-time video content analysis possible. This shows
that the need of the hour is a robust and highly automated Face Detection and
Recognition algorithm with credible accuracy rate. The proposed Face Detection
and Recognition system using Discrete Wavelet Transform (DWT) accepts face
frames as input from a database containing images from low cost devices such as
VGA cameras, webcams or even CCTV's, where image quality is inferior. Face
region is then detected using properties of L*a*b* color space and only Frontal
Face is extracted such that all additional background is eliminated. Further,
this extracted image is converted to grayscale and its dimensions are resized
to 128 x 128 pixels. DWT is then applied to entire image to obtain the
coefficients. Recognition is carried out by comparison of the DWT coefficients
belonging to the test image with those of the registered reference image. On
comparison, Euclidean distance classifier is deployed to validate the test
image from the database. Accuracy for various levels of DWT Decomposition is
obtained and hence, compared.Comment: discrete wavelet transform, face detection, face recognition, person
  identificatio"
22,"Recently, deep convolutional neural network (DCNN) achieved increasingly
remarkable success and rapidly developed in the field of natural image
recognition. Compared with the natural image, the scale of remote sensing image
is larger and the scene and the object it represents are more macroscopic. This
study inquires whether remote sensing scene and natural scene recognitions
differ and raises the following questions: What are the key factors in remote
sensing scene recognition? Is the DCNN recognition mechanism centered on object
recognition still applicable to the scenarios of remote sensing scene
understanding? We performed several experiments to explore the influence of the
DCNN structure and the scale of remote sensing scene understanding from the
perspective of scene complexity. Our experiment shows that understanding a
complex scene depends on an in-depth network and multiple-scale perception.
Using a visualization method, we qualitatively and quantitatively analyze the
recognition mechanism in a complex remote sensing scene and demonstrate the
importance of multi-objective joint semantic support"
23,"In this paper a vision-based vehicles recognition method is presented.
Proposed method uses fuzzy description of image segments for automatic
recognition of vehicles recorded in image data. The description takes into
account selected geometrical properties and shape coefficients determined for
segments of reference image (vehicle model). The proposed method was
implemented using reasoning system with fuzzy rules. A vehicles recognition
algorithm was developed based on the fuzzy rules describing shape and
arrangement of the image segments that correspond to visible parts of a
vehicle. An extension of the algorithm with set of fuzzy rules defined for
different reference images (and various vehicle shapes) enables vehicles
classification in traffic scenes. The devised method is suitable for
application in video sensors for road traffic control and surveillance systems.Comment: The final publication is available at http://www.springerlink.co"
24,"This paper investigates, using prior shape models and the concept of ball
scale (b-scale), ways of automatically recognizing objects in 3D images without
performing elaborate searches or optimization. That is, the goal is to place
the model in a single shot close to the right pose (position, orientation, and
scale) in a given image so that the model boundaries fall in the close vicinity
of object boundaries in the image. This is achieved via the following set of
key ideas: (a) A semi-automatic way of constructing a multi-object shape model
assembly. (b) A novel strategy of encoding, via b-scale, the pose relationship
between objects in the training images and their intensity patterns captured in
b-scale images. (c) A hierarchical mechanism of positioning the model, in a
one-shot way, in a given image from a knowledge of the learnt pose relationship
and the b-scale image of the given image to be segmented. The evaluation
results on a set of 20 routine clinical abdominal female and male CT data sets
indicate the following: (1) Incorporating a large number of objects improves
the recognition accuracy dramatically. (2) The recognition algorithm can be
thought as a hierarchical framework such that quick replacement of the model
assembly is defined as coarse recognition and delineation itself is known as
finest recognition. (3) Scale yields useful information about the relationship
between the model assembly and any given image such that the recognition
results in a placement of the model close to the actual pose without doing any
elaborate searches or optimization. (4) Effective object recognition can make
delineation most accurate.Comment: This paper was published and presented in SPIE Medical Imaging 201"
25,"This paper proposes a data driven model to predict the performance of a face
recognition system based on image quality features. We model the relationship
between image quality features (e.g. pose, illumination, etc.) and recognition
performance measures using a probability density function. To address the issue
of limited nature of practical training data inherent in most data driven
models, we have developed a Bayesian approach to model the distribution of
recognition performance measures in small regions of the quality space. Since
the model is based solely on image quality features, it can predict performance
even before the actual recognition has taken place. We evaluate the performance
predictive capabilities of the proposed model for six face recognition systems
(two commercial and four open source) operating on three independent data sets:
MultiPIE, FRGC and CAS-PEAL. Our results show that the proposed model can
accurately predict performance using an accurate and unbiased Image Quality
Assessor (IQA). Furthermore, our experiments highlight the impact of the
unaccounted quality space -- the image quality features not considered by IQA
-- in contributing to performance prediction errors.Comment: Submitted to TPAMI journal on Apr. 22, 2015. Decision of ""Revise and
  resubmit as new"" received on Sep. 10, 2015. At present, updating the paper to
  address the feedback and concerns of the two reviewers. The re-submitted
  paper will be uploaded as version 2 on arXi"
26,"Over many decades, researchers working in object recognition have longed for
an end-to-end automated system that will simply accept 2D or 3D image or videos
as inputs and output the labels of objects in the input data. Computer vision
methods that use representations derived based on geometric, radiometric and
neural considerations and statistical and structural matchers and artificial
neural network-based methods where a multi-layer network learns the mapping
from inputs to class labels have provided competing approaches for image
recognition problems. Over the last four years, methods based on Deep
Convolutional Neural Networks (DCNNs) have shown impressive performance
improvements on object detection/recognition challenge problems. This has been
made possible due to the availability of large annotated data, a better
understanding of the non-linear mapping between image and class labels as well
as the affordability of GPUs. In this paper, we present a brief history of
developments in computer vision and artificial neural networks over the last
forty years for the problem of image-based recognition. We then present the
design details of a deep learning system for end-to-end unconstrained face
verification/recognition. Some open issues regarding DCNNs for object
recognition problems are then discussed. We caution the readers that the views
expressed in this paper are from the authors and authors only!Comment: 7 page"
27,"We present a new approach for face recognition system. The method is based on
2D face image features using subset of non-correlated and Orthogonal Gabor
Filters instead of using the whole Gabor Filter Bank, then compressing the
output feature vector using Linear Discriminant Analysis (LDA). The face image
has been enhanced using multi stage image processing technique to normalize it
and compensate for illumination variation. Experimental results show that the
proposed system is effective for both dimension reduction and good recognition
performance when compared to the complete Gabor filter bank. The system has
been tested using CASIA, ORL and Cropped YaleB 2D face images Databases and
achieved average recognition rate of 98.9 %"
28,"CONFIGR (CONtour FIgure GRound) is a computational model based on principles of biological vision that completes sparse and  noisy image figures. Within an integrated vision/recognition system, CONFIGR posits an initial recognition stage which identifies figure pixels from spatially local input information. The resulting, and typically incomplete, figure is fed back to the “early vision” stage for long-range completion via filling-in. The reconstructed image is then re-presented to the recognition system for global functions such as object recognition. In the CONFIGR algorithm, the smallest independent image unit is the visible pixel, whose size defines a computational spatial scale. Once pixel size is fixed, the entire algorithm is fully determined, with no additional parameter choices. Multi-scale simulations illustrate the vision/recognition system. Open-source CONFIGR code is available online, but all examples can be derived analytically, and the design principles applied at each step are transparent. The model balances filling-in as figure against complementary filling-in as ground, which blocks spurious figure completions. Lobe computations occur on a subpixel spatial scale. Originally designed to fill-in missing contours in an incomplete image such as a dashed line, the same CONFIGR system connects and segments sparse dots, and unifies occluded objects from pieces locally identified as figure in the initial recognition stage. The model self-scales its completion distances, filling-in across gaps of any length, where unimpeded, while limiting connections among dense image-figure pixel groups that already have intrinsic form. Long-range image completion promises to play an important role in adaptive processors that reconstruct images from highly compressed video and still camera images.Air Force Office of Scientific Research (F49620-01-1-0423); National Geospatial-Intelligence Agency (NMA 201-01-1-0216); National Science Foundation (SBE-0354378); Office of Naval Research (N000014-01-1-0624"
29,"We address the task of recognizing objects from video input. This important
problem is relatively unexplored, compared with image-based object recognition.
To this end, we make the following contributions. First, we introduce two
comprehensive datasets for video-based object recognition. Second, we propose
Latent Bi-constraint SVM (LBSVM), a maximum-margin framework for video-based
object recognition. LBSVM is based on Structured-Output SVM, but extends it to
handle noisy video data and ensure consistency of the output decision
throughout time. We apply LBSVM to recognize office objects and museum
sculptures, and we demonstrate its benefits over image-based, set-based, and
other video-based object recognition"
30,"The analysis of historical documents is still a topical issue given the
importance of information that can be extracted and also the importance given
by the institutions to preserve their heritage. The main idea in order to
characterize the content of the images of ancient documents after attempting to
clean the image is segmented blocks texts from the same image and tries to find
similar blocks in either the same image or the entire image database. Most
approaches of offline handwriting recognition proceed by segmenting words into
smaller pieces (usually characters) which are recognized separately.
Recognition of a word then requires the recognition of all characters (OCR)
that compose it. Our work focuses mainly on the characterization of classes in
images of old documents. We use Som toolbox for finding classes in documents.
We applied also fractal dimensions and points of interest to categorize and
match ancient documents.Comment: 10 page"
31,"This book constitutes the refereed proceedings of the 18th Scandinavian Conference on Image Analysis, SCIA 2013, held in Espoo, Finland, in June 2013. The 67 revised full papers presented were carefully reviewed and selected from 132 submissions. The papers are organized in topical sections on feature extraction and segmentation, pattern recognition and machine learning, medical and biomedical image analysis, faces and gestures, object and scene recognition, matching, registration, and alignment, 3D vision, color and multispectral image analysis, motion analysis, systems and applications, human-centered computing, and video and multimedia analysis"
32,"The popular Biometric used to authenticate a person is Fingerprint which is
unique and permanent throughout a person's life. A minutia matching is widely
used for fingerprint recognition and can be classified as ridge ending and
ridge bifurcation. In this paper we projected Fingerprint Recognition using
Minutia Score Matching method (FRMSM). For Fingerprint thinning, the Block
Filter is used, which scans the image at the boundary to preserves the quality
of the image and extract the minutiae from the thinned image. The false
matching ratio is better compared to the existing algorithm.Comment: 8 Page"
33,"Weather Recognition plays an important role in our daily lives and many
computer vision applications. However, recognizing the weather conditions from
a single image remains challenging and has not been studied thoroughly.
Generally, most previous works treat weather recognition as a single-label
classification task, namely, determining whether an image belongs to a specific
weather class or not. This treatment is not always appropriate, since more than
one weather conditions may appear simultaneously in a single image. To address
this problem, we make the first attempt to view weather recognition as a
multi-label classification task, i.e., assigning an image more than one labels
according to the displayed weather conditions. Specifically, a CNN-RNN based
multi-label classification approach is proposed in this paper. The
convolutional neural network (CNN) is extended with a channel-wise attention
model to extract the most correlated visual features. The Recurrent Neural
Network (RNN) further processes the features and excavates the dependencies
among weather classes. Finally, the weather labels are predicted step by step.
Besides, we construct two datasets for the weather recognition task and explore
the relationships among different weather conditions. Experimental results
demonstrate the superiority and effectiveness of the proposed approach. The new
constructed datasets will be available at
https://github.com/wzgwzg/Multi-Label-Weather-Recognition.Comment: One weather recognition dataset is constructe"
34,"Poster presentation: Introduction We here focus on constructing a hierarchical neural system for position-invariant recognition, which is one of the most fundamental invariant recognition achieved in visual processing [1,2]. The invariant recognition have been hypothesized to be done by matching a sensory image of a particular object stimulated on the retina to the most suitable representation stored in memory of the higher visual cortical area. Here arises a general problem: In such a visual processing, the position of the object image on the retina must be initially uncertain. Furthermore, the retinal activities possessing sensory information are being far from the ones in the higher area with a loss of the sensory object information. Nevertheless, with such recognition ambiguity, the particular object can effortlessly and easily be recognized. Our aim in this work is an attempt to resolve such a general recognition problem. .."
35,"In this paper, we generate and control semantically interpretable filters
that are directly learned from natural images in an unsupervised fashion. Each
semantic filter learns a visually interpretable local structure in conjunction
with other filters. The significance of learning these interpretable filter
sets is demonstrated on two contrasting applications. The first application is
image recognition under progressive decolorization, in which recognition
algorithms should be color-insensitive to achieve a robust performance. The
second application is image quality assessment where objective methods should
be sensitive to color degradations. In the proposed work, the sensitivity and
lack thereof are controlled by weighing the semantic filters based on the local
structures they represent. To validate the proposed approach, we utilize the
CURE-TSR dataset for image recognition and the TID 2013 dataset for image
quality assessment. We show that the proposed semantic filter set achieves
state-of-the-art performances in both datasets while maintaining its robustness
across progressive distortions.Comment: 5 pages, 5 figures, 1 tabl"
36,"Heterogeneous face recognition between color image and depth image is a much
desired capacity for real world applications where shape information is looked
upon as merely involved in gallery. In this paper, we propose a cross-modal
deep learning method as an effective and efficient workaround for this
challenge. Specifically, we begin with learning two convolutional neural
networks (CNNs) to extract 2D and 2.5D face features individually. Once
trained, they can serve as pre-trained models for another two-way CNN which
explores the correlated part between color and depth for heterogeneous
matching. Compared with most conventional cross-modal approaches, our method
additionally conducts accurate depth image reconstruction from single color
image with Conditional Generative Adversarial Nets (cGAN), and further enhances
the recognition performance by fusing multi-modal matching results. Through
both qualitative and quantitative experiments on benchmark FRGC 2D/3D face
database, we demonstrate that the proposed pipeline outperforms
state-of-the-art performance on heterogeneous face recognition and ensures a
drastically efficient on-line stage"
37,"In the paper, we combined DSP processor with image processing algorithm and
studied the method of water meter character recognition. We collected water
meter image through camera at a fixed angle, and the projection method is used
to recognize those digital images. The experiment results show that the method
can recognize the meter characters accurately and artificial meter reading is
replaced by automatic digital recognition, which improves working efficiency"
38,"What is the current state-of-the-art for image restoration and enhancement
applied to degraded images acquired under less than ideal circumstances? Can
the application of such algorithms as a pre-processing step to improve image
interpretability for manual analysis or automatic visual recognition to
classify scene content? While there have been important advances in the area of
computational photography to restore or enhance the visual quality of an image,
the capabilities of such techniques have not always translated in a useful way
to visual recognition tasks. Consequently, there is a pressing need for the
development of algorithms that are designed for the joint problem of improving
visual appearance and recognition, which will be an enabling factor for the
deployment of visual recognition tools in many real-world scenarios. To address
this, we introduce the UG^2 dataset as a large-scale benchmark composed of
video imagery captured under challenging conditions, and two enhancement tasks
designed to test algorithmic impact on visual quality and automatic object
recognition. Furthermore, we propose a set of metrics to evaluate the joint
improvement of such tasks as well as individual algorithmic advances, including
a novel psychophysics-based evaluation regime for human assessment and a
realistic set of quantitative measures for object recognition performance. We
introduce six new algorithms for image restoration or enhancement, which were
created as part of the IARPA sponsored UG^2 Challenge workshop held at CVPR
2018. Under the proposed evaluation regime, we present an in-depth analysis of
these algorithms and a host of deep learning-based and classic baseline
approaches. From the observed results, it is evident that we are in the early
days of building a bridge between computational photography and visual
recognition, leaving many opportunities for innovation in this area.Comment: CVPR Prize Challenge: http://www.ug2challenge.or"
39,"International Conference Image Analysis and Recognition (ICIAR 2018, Póvoa de Varzim, Portugal"
40,"In many real-world applications, image data often come with noises,
corruptions or large errors. One approach to deal with noise image data is to
use data recovery techniques which aim to recover the true uncorrupted signals
from the observed noise images. In this paper, we first introduce a novel
corruption recovery transformation (CRT) model which aims to recover multiple
(or a collection of) corrupted images using a single affine transformation.
Then, we show that the introduced CRT can be efficiently constructed through
learning from training data. Once CRT is learned, we can recover the true
signals from the new incoming/test corrupted images explicitly. As an
application, we apply our CRT to image recognition task. Experimental results
on six image datasets demonstrate that the proposed CRT model is effective in
recovering noise image data and thus leads to better recognition results"
41,"Deep neural networks demonstrate to have a high performance on image
classification tasks while being more difficult to train. Due to the complexity
and vanishing gradient problem, it normally takes a lot of time and more
computational power to train deeper neural networks. Deep residual networks
(ResNets) can make the training process faster and attain more accuracy
compared to their equivalent neural networks. ResNets achieve this improvement
by adding a simple skip connection parallel to the layers of convolutional
neural networks. In this project we first design a ResNet model that can
perform the image classification task on the Tiny ImageNet dataset with a high
accuracy, then we compare the performance of this ResNet model with its
equivalent Convolutional Network (ConvNet). Our findings illustrate that
ResNets are more prone to overfitting despite their higher accuracy. Several
methods to prevent overfitting such as adding dropout layers and stochastic
augmentation of the training dataset has been studied in this work.Comment: 6 pages, 9 figure"
