,documents,assigned_topic,timestamp
10,"The area of face recognition is one of the most widely researched areas in
the domain of computer vision and biometric. This is because, the non-intrusive
nature of face biometric makes it comparatively more suitable for application
in area of surveillance at public places such as airports. The application of
primitive methods in face recognition could not give very satisfactory
performance. However, with the advent of machine and deep learning methods and
their application in face recognition, several major breakthroughs were
obtained. The use of 2D Convolution Neural networks(2D CNN) in face recognition
crossed the human face recognition accuracy and reached to 99%. Still, robust
face recognition in the presence of real world conditions such as variation in
resolution, illumination and pose is a major challenge for researchers in face
recognition. In this work, we used video as input to the 3D CNN architectures
for capturing both spatial and time domain information from the video for face
recognition in real world environment. For the purpose of experimentation, we
have developed our own video dataset called CVBL video dataset. The use of 3D
CNN for face recognition in videos shows promising results with DenseNets
performing the best with an accuracy of 97% on CVBL dataset.",11,2021-02-02 11:31:40
11,"Face Recognition is a common problem in Machine Learning. This technology has
already been widely used in our lives. For example, Facebook can automatically
tag people's faces in images, and also some mobile devices use face recognition
to protect private security. Face images comes with different background,
variant illumination, different facial expression and occlusion. There are a
large number of approaches for the face recognition. Different approaches for
face recognition have been experimented with specific databases which consist
of single type, format and composition of image. Doing so, these approaches
don't suit with different face databases. One of the basic face recognition
techniques is eigenface which is quite simple, efficient, and yields generally
good results in controlled circumstances. So, this paper presents an
experimental performance comparison of face recognition using Principal
Component Analysis (PCA) and Normalized Principal Component Analysis (NPCA).
The experiments are carried out on the ORL (ATT) and Indian face database (IFD)
which contain variability in expression, pose, and facial details. The results
obtained for the two methods have been compared by varying the number of
training images. MATLAB is used for implementing algorithms also.",8,2017-05-08 08:53:30
12,"Most of the face recognition works focus on specific modules or demonstrate a
research idea. This paper presents a pose-invariant 3D-aided 2D face
recognition system (UR2D) that is robust to pose variations as large as 90? by
leveraging deep learning technology. The architecture and the interface of UR2D
are described, and each module is introduced in detail. Extensive experiments
are conducted on the UHDB31 and IJB-A, demonstrating that UR2D outperforms
existing 2D face recognition systems such as VGG-Face, FaceNet, and a
commercial off-the-shelf software (COTS) by at least 9% on the UHDB31 dataset
and 3% on the IJB-A dataset on average in face identification tasks. UR2D also
achieves state-of-the-art performance of 85% on the IJB-A dataset by comparing
the Rank-1 accuracy score from template matching. It fills a gap by providing a
3D-aided 2D face recognition system that has compatible results with 2D face
recognition systems using deep learning techniques.",11,2017-09-19 17:02:15
13,"Face recognition in real life situations like low illumination condition is
still an open challenge in biometric security. It is well established that the
state-of-the-art methods in face recognition provide low accuracy in the case
of poor illumination. In this work, we propose an algorithm for a more robust
illumination invariant face recognition using a multi-modal approach. We
propose a new dataset consisting of aligned faces of thermal and visual images
of a hundred subjects. We then apply face detection on thermal images using the
biggest blob extraction method and apply them for fusing images of different
modalities for the purpose of face recognition. An algorithm is proposed to
implement fusion of thermal and visual images. We reason for why relying on
only one modality can give erroneous results. We use a lighter and faster CNN
model called MobileNet for the purpose of face recognition with faster
inferencing and to be able to be use it in real time biometric systems. We test
our proposed method on our own created dataset to show that real-time face
recognition on fused images shows far better results than using visual or
thermal images separately.",8,2019-02-23 15:13:16
14,"Face recognition has already been well studied under the visible light and
the infrared,in both intra-spectral and cross-spectral cases. However, how to
fuse different light bands, i.e., hyperspectral face recognition, is still an
open research problem, which has the advantages of richer information retaining
and all-weather functionality over single band face recognition. Among the very
few works for hyperspectral face recognition, traditional non-deep learning
techniques are largely used. Thus, we in this paper bring deep learning into
the topic of hyperspectral face recognition, and propose a new fusion model
(termed HyperFaceNet) especially for hyperspectral faces. The proposed fusion
model is characterized by residual dense learning, a feedback style encoder and
a recognition-oriented loss function. During the experiments, our method is
proved to be of higher recognition rates than face recognition using either
visible light or the infrared. Moreover, our fusion model is shown to be
superior to other general-purposed image fusion methods including
state-of-the-arts, in terms of both image quality and recognition performance.",11,2020-08-02 14:59:24
15,"This work explores facial expression bias as a security vulnerability of face
recognition systems. Despite the great performance achieved by state-of-the-art
face recognition systems, the algorithms are still sensitive to a large range
of covariates. We present a comprehensive analysis of how facial expression
bias impacts the performance of face recognition technologies. Our study
analyzes: i) facial expression biases in the most popular face recognition
databases; and ii) the impact of facial expression in face recognition
performances. Our experimental framework includes two face detectors, three
face recognition models, and three different databases. Our results demonstrate
a huge facial expression bias in the most widely used databases, as well as a
related impact of face expression in the performance of state-of-the-art
algorithms. This work opens the door to new research lines focused on
mitigating the observed vulnerability.",8,2020-11-17 18:12:41
16,"We present the improved network architecture, data augmentation, and training
strategies for the Webface track and Insightface/Glint360K track of the masked
face recognition challenge of ICCV2021. One of the key goals is to have a
balanced performance of masked and standard face recognition. In order to
prevent the overfitting for the masked face recognition, we control the total
number of masked faces by not more than 10\% of the total face recognition in
the training dataset. We propose a few key changes to the face recognition
network including a new stem unit, drop block, face detection and alignment
using YOLO5Face, feature concatenation, a cycle cosine learning rate, etc. With
this strategy, we achieve good and balanced performance for both masked and
standard face recognition.",11,2021-10-04 15:41:05
17,"Deep networks trained on millions of facial images are believed to be closely
approaching human-level performance in face recognition. However, open world
face recognition still remains a challenge. Although, 3D face recognition has
an inherent edge over its 2D counterpart, it has not benefited from the recent
developments in deep learning due to the unavailability of large training as
well as large test datasets. Recognition accuracies have already saturated on
existing 3D face datasets due to their small gallery sizes. Unlike 2D
photographs, 3D facial scans cannot be sourced from the web causing a
bottleneck in the development of deep 3D face recognition networks and
datasets. In this backdrop, we propose a method for generating a large corpus
of labeled 3D face identities and their multiple instances for training and a
protocol for merging the most challenging existing 3D datasets for testing. We
also propose the first deep CNN model designed specifically for 3D face
recognition and trained on 3.1 Million 3D facial scans of 100K identities. Our
test dataset comprises 1,853 identities with a single 3D scan in the gallery
and another 31K scans as probes, which is several orders of magnitude larger
than existing ones. Without fine tuning on this dataset, our network already
outperforms state of the art face recognition by over 10%. We fine tune our
network on the gallery set to perform end-to-end large scale 3D face
recognition which further improves accuracy. Finally, we show the efficacy of
our method for the open world face recognition problem.",8,2017-11-16 06:07:10
18,"With the recent success of deep neural networks, remarkable progress has been
achieved on face recognition. However, collecting large-scale real-world
training data for face recognition has turned out to be challenging, especially
due to the label noise and privacy issues. Meanwhile, existing face recognition
datasets are usually collected from web images, lacking detailed annotations on
attributes (e.g., pose and expression), so the influences of different
attributes on face recognition have been poorly investigated. In this paper, we
address the above-mentioned issues in face recognition using synthetic face
images, i.e., SynFace. Specifically, we first explore the performance gap
between recent state-of-the-art face recognition models trained with synthetic
and real face images. We then analyze the underlying causes behind the
performance gap, e.g., the poor intra-class variations and the domain gap
between synthetic and real face images. Inspired by this, we devise the SynFace
with identity mixup (IM) and domain mixup (DM) to mitigate the above
performance gap, demonstrating the great potentials of synthetic data for face
recognition. Furthermore, with the controllable face synthesis model, we can
easily manage different factors of synthetic face generation, including pose,
expression, illumination, the number of identities, and samples per identity.
Therefore, we also perform a systematically empirical analysis on synthetic
face images to provide some insights on how to effectively utilize synthetic
data for face recognition.",8,2021-08-18 03:41:54
19,"This paper implements and compares different techniques for face detection
and recognition. One is find where the face is located in the images that is
face detection and second is face recognition that is identifying the person.
We study three techniques in this paper: Face detection using self organizing
map (SOM), Face recognition by projection and nearest neighbor and Face
recognition using SVM.",8,2016-04-19 03:16:14
20,"This work presents an analysis of the efficiency of image augmentations for
the face recognition problem from limited data. We considered basic
manipulations, generative methods, and their combinations for augmentations.
Our results show that augmentations, in general, can considerably improve the
quality of face recognition systems and the combination of generative and basic
approaches performs better than the other tested techniques.",11,2021-05-18 19:33:17
21,"In order to establish face recognition system in rehabilitation nursing
robots beds and achieve real-time monitor the patient on the bed. We propose a
face recognition method based on partial matching Hu moments which apply for
rehabilitation nursing robots beds. Firstly we using Haar classifier to detect
human faces automatically in dynamic video frames. Secondly we using Otsu
threshold method to extract facial features (eyebrows, eyes, mouth) in the face
image and its Hu moments. Finally, we using Hu moment feature set to achieve
the automatic face recognition. Experimental results show that this method can
efficiently identify face in a dynamic video and it has high practical value
(the accuracy rate is 91% and the average recognition time is 4.3s).",8,2015-08-02 14:09:02
22,"Face recognition has achieved considerable progress in recent years thanks to
the development of deep neural networks, but it has recently been discovered
that deep neural networks are vulnerable to adversarial examples. This means
that face recognition models or systems based on deep neural networks are also
susceptible to adversarial examples. However, the existing methods of attacking
face recognition models or systems with adversarial examples can effectively
complete white-box attacks but not black-box impersonation attacks, physical
attacks, or convenient attacks, particularly on commercial face recognition
systems. In this paper, we propose a new method to attack face recognition
models or systems called RSTAM, which enables an effective black-box
impersonation attack using an adversarial mask printed by a mobile and compact
printer. First, RSTAM enhances the transferability of the adversarial masks
through our proposed random similarity transformation strategy. Furthermore, we
propose a random meta-optimization strategy for ensembling several pre-trained
face models to generate more general adversarial masks. Finally, we conduct
experiments on the CelebA-HQ, LFW, Makeup Transfer (MT), and CASIA-FaceV5
datasets. The performance of the attacks is also evaluated on state-of-the-art
commercial face recognition systems: Face++, Baidu, Aliyun, Tencent, and
Microsoft. Extensive experiments show that RSTAM can effectively perform
black-box impersonation attacks on face recognition models or systems.",8,2022-06-25 08:16:55
23,"Face recognition presents a challenging problem in the field of image
analysis and computer vision. The security of information is becoming very
significant and difficult. Security cameras are presently common in airports,
Offices, University, ATM, Bank and in any locations with a security system.
Face recognition is a biometric system used to identify or verify a person from
a digital image. Face Recognition system is used in security. Face recognition
system should be able to automatically detect a face in an image. This involves
extracts its features and then recognize it, regardless of lighting,
expression, illumination, ageing, transformations (translate, rotate and scale
image) and pose, which is a difficult task. This paper contains three sections.
The first section describes the common methods like holistic matching method,
feature extraction method and hybrid methods. The second section describes
applications with examples and finally third section describes the future
research directions of face recognition.",8,2014-03-03 16:56:53
24,"In the beginning stage, face verification is done using easy method of
geometric algorithm models, but the verification route has now developed into a
scientific progress of complicated geometric representation and identical
procedure. In recent years the technologies have boosted face recognition
system into the healthy focus. Researchers currently undergoing strong research
on finding face recognition system for wider area information taken under
hysterical elucidation dissimilarity. The proposed face recognition system
consists of a narrative expositionindiscreet preprocessing method, a hybrid
Fourier-based facial feature extraction and a score fusion scheme. We have
verified the face recognition in different lightening conditions (day or night)
and at different locations (indoor or outdoor). Preprocessing, Image detection,
Feature- extraction and Face recognition are the methods used for face
verification system. This paper focuses mainly on the issue of toughness to
lighting variations. The proposed system has obtained an average of 88.1%
verification rate on Two-Dimensional images under different lightening
conditions.",8,2014-03-04 04:47:37
25,"Developing a reliable and practical face recognition system is a
long-standing goal in computer vision research. Existing literature suggests
that pixel-wise face alignment is the key to achieve high-accuracy face
recognition. By assuming a human face as piece-wise planar surfaces, where each
surface corresponds to a facial part, we develop in this paper a Constrained
Part-based Alignment (CPA) algorithm for face recognition across pose and/or
expression. Our proposed algorithm is based on a trainable CPA model, which
learns appearance evidence of individual parts and a tree-structured shape
configuration among different parts. Given a probe face, CPA simultaneously
aligns all its parts by fitting them to the appearance evidence with
consideration of the constraint from the tree-structured shape configuration.
This objective is formulated as a norm minimization problem regularized by
graph likelihoods. CPA can be easily integrated with many existing classifiers
to perform part-based face recognition. Extensive experiments on benchmark face
datasets show that CPA outperforms or is on par with existing methods for
robust face recognition across pose, expression, and/or illumination changes.",11,2015-01-20 06:05:01
26,"This paper explores multi-task learning (MTL) for face recognition. We answer
the questions of how and why MTL can improve the face recognition performance.
First, we propose a multi-task Convolutional Neural Network (CNN) for face
recognition where identity classification is the main task and pose,
illumination, and expression estimations are the side tasks. Second, we develop
a dynamic-weighting scheme to automatically assign the loss weight to each side
task, which is a crucial problem in MTL. Third, we propose a pose-directed
multi-task CNN by grouping different poses to learn pose-specific identity
features, simultaneously across all poses. Last but not least, we propose an
energy-based weight analysis method to explore how CNN-based MTL works. We
observe that the side tasks serve as regularizations to disentangle the
variations from the learnt identity features. Extensive experiments on the
entire Multi-PIE dataset demonstrate the effectiveness of the proposed
approach. To the best of our knowledge, this is the first work using all data
in Multi-PIE for face recognition. Our approach is also applicable to
in-the-wild datasets for pose-invariant face recognition and achieves
comparable or better performance than state of the art on LFW, CFP, and IJB-A
datasets.",8,2017-02-15 18:41:21
27,"This paper presents a multi-pose face recognition approach using hybrid face
features descriptors (HFFD). The HFFD is a face descriptor containing of rich
discriminant information that is created by fusing some frequency-based
features extracted using both wavelet and DCT analysis of several different
poses of 2D face images. The main aim of this method is to represent the
multi-pose face images using a dominant frequency component with still having
reasonable achievement compared to the recent multi-pose face recognition
methods. The HFFD based face recognition tends to achieve better performance
than that of the recent 2D-based face recognition method. In addition, the
HFFD-based face recognition also is sufficiently to handle large face
variability due to face pose variations .",8,2017-03-12 02:58:07
28,"Existing convolutional neural network (CNN) based face recognition algorithms
typically learn a discriminative feature mapping, using a loss function that
enforces separation of features from different classes and/or aggregation of
features within the same class. However, they may suffer from bias in the
training data such as uneven sampling density, because they optimize the
adjacency relationship of the learned features without considering the
proximity of the underlying faces. Moreover, since they only use facial images
for training, the learned feature mapping may not correctly indicate the
relationship of other attributes such as gender and ethnicity, which can be
important for some face recognition applications. In this paper, we propose a
new CNN-based face recognition approach that incorporates such attributes into
the training process. Using an attribute-aware loss function that regularizes
the feature mapping using attribute proximity, our approach learns more
discriminative features that are correlated with the attributes. We train our
face recognition model on a large-scale RGB-D data set with over 100K
identities captured under real application conditions. By comparing our
approach with other methods on a variety of experiments, we demonstrate that
depth channel and attribute-aware loss greatly improve the accuracy and
robustness of face recognition.",11,2018-11-24 15:07:12
29,"Deep neural networks have been widely used in numerous computer vision
applications, particularly in face recognition. However, deploying deep neural
network face recognition on mobile devices has recently become a trend but
still limited since most high-accuracy deep models are both time and GPU
consumption in the inference stage. Therefore, developing a lightweight deep
neural network is one of the most practical solutions to deploy face
recognition on mobile devices. Such the lightweight deep neural network
requires efficient memory with small number of weights representation and low
cost operators. In this paper, a novel deep neural network named MobiFace, a
simple but effective approach, is proposed for productively deploying face
recognition on mobile devices. The experimental results have shown that our
lightweight MobiFace is able to achieve high performance with 99.73% on LFW
database and 91.3% on large-scale challenging Megaface database. It is also
eventually competitive against large-scale deep-networks face recognition while
significant reducing computational time and memory consumption.",8,2018-11-27 16:34:01
30,"Face liveness detection is an essential prerequisite for face recognition
applications. Previous face liveness detection methods usually train a binary
classifier to differentiate between a fake face and a real face before face
recognition. The client identity information is not utilized in previous face
liveness detection methods. However, in practical face recognition
applications, face spoofing attacks are always aimed at a specific client, and
the client identity information can provide useful clues for face liveness
detection. In this paper, we propose a face liveness detection method based on
the client identity using Siamese network. We detect face liveness after face
recognition instead of before face recognition, that is, we detect face
liveness with the client identity information. We train a Siamese network with
image pairs. Each image pair consists of two real face images or one real and
one fake face images. The face images in each pair come from a same client.
Given a test face image, the face image is firstly recognized by face
recognition system, then the real face image of the identified client is
retrieved to help the face liveness detection. Experiment results demonstrate
the effectiveness of our method.",8,2019-03-13 09:12:38
31,"We introduce a deep convolutional neural networks (CNN) architecture to
classify facial attributes and recognize face images simultaneously via a
shared learning paradigm to improve the accuracy for facial attribute
prediction and face recognition performance. In this method, we use facial
attributes as an auxiliary source of information to assist CNN features
extracted from the face images to improve the face recognition performance.
Specifically, we use a shared CNN architecture that jointly predicts facial
attributes and recognize face images simultaneously via a shared learning
parameters, and then we use facial attribute features an an auxiliary source of
information concatenated by face features to increase the discrimination of the
CNN for face recognition. This process assists the CNN classifier to better
recognize face images. The experimental results show that our model increases
both the face recognition and facial attribute prediction performance,
especially for the identity attributes such as gender and race. We evaluated
our method on several standard datasets labeled by identities and face
attributes and the results show that the proposed method outperforms
state-of-the-art face recognition models.",8,2019-09-28 18:25:41
32,"Face recognition systems are present in many modern solutions and thousands
of applications in our daily lives. However, current solutions are not easily
scalable, especially when it comes to the addition of new targeted people. We
propose a cluster-matching-based approach for face recognition in video. In our
approach, we use unsupervised learning to cluster the faces present in both the
dataset and targeted videos selected for face recognition. Moreover, we design
a cluster matching heuristic to associate clusters in both sets that is also
capable of identifying when a face belongs to a non-registered person. Our
method has achieved a recall of 99.435% and a precision of 99.131% in the task
of video face recognition. Besides performing face recognition, it can also be
used to determine the video segments where each person is present.",11,2020-10-20 00:44:54
33,"Knowledge Distillation (KD) refers to transferring knowledge from a large
model to a smaller one, which is widely used to enhance model performance in
machine learning. It tries to align embedding spaces generated from the teacher
and the student model (i.e. to make images corresponding to the same semantics
share the same embedding across different models). In this work, we focus on
its application in face recognition. We observe that existing knowledge
distillation models optimize the proxy tasks that force the student to mimic
the teacher's behavior, instead of directly optimizing the face recognition
accuracy. Consequently, the obtained student models are not guaranteed to be
optimal on the target task or able to benefit from advanced constraints, such
as large margin constraints (e.g. margin-based softmax). We then propose a
novel method named ProxylessKD that directly optimizes face recognition
accuracy by inheriting the teacher's classifier as the student's classifier to
guide the student to learn discriminative embeddings in the teacher's embedding
space. The proposed ProxylessKD is very easy to implement and sufficiently
generic to be extended to other tasks beyond face recognition. We conduct
extensive experiments on standard face recognition benchmarks, and the results
demonstrate that ProxylessKD achieves superior performance over existing
knowledge distillation methods.",8,2020-10-31 13:14:34
34,"3D face recognition has shown its potential in many application scenarios.
Among numerous 3D face recognition methods, deep-learning-based methods have
developed vigorously in recent years. In this paper, an end-to-end deep
learning network entitled Sur3dNet-Face for point-cloud-based 3D face
recognition is proposed. The network uses PointNet as the backbone, which is a
successful point cloud classification solution but does not work properly in
face recognition. Supplemented with modifications in network architecture and a
few-data guided learning framework based on Gaussian process morphable model,
the backbone is successfully modified for 3D face recognition. Different from
existing methods training with a large amount of data in multiple datasets, our
method uses Spring2003 subset of FRGC v2.0 for training which contains only 943
facial scans, and the network is well trained with the guidance of such a small
amount of real data. Without fine-tuning on the test set, the Rank-1
Recognition Rate (RR1) is achieved as follows: 98.85% on FRGC v2.0 dataset and
99.33% on Bosphorus dataset, which proves the effectiveness and the
potentiality of our method.",11,2021-03-31 09:26:14
35,"As the deep learning makes big progresses in still-image face recognition,
unconstrained video face recognition is still a challenging task due to low
quality face images caused by pose, blur, occlusion, illumination etc. In this
paper we propose a network for face recognition which gives an explicit and
quantitative quality score at the same time when a feature vector is extracted.
To our knowledge this is the first network that implements these two functions
in one network online. This network is very simple by adding a quality network
branch to the baseline network of face recognition. It does not require
training datasets with annotated face quality labels. We evaluate this network
on both still-image face datasets and video face datasets and achieve the
state-of-the-art performance in many cases. This network enables a lot of
applications where an explicit face quality scpre is used. We demonstrate three
applications of the explicit face quality, one of which is a progressive
feature aggregation scheme in online video face recognition. We design an
experiment to prove the benefits of using the face quality in this application.
Code will be available at \url{https://github.com/deepcam-cn/facequality}.",11,2021-05-03 05:45:57
36,"Face recognition has been greatly facilitated by the development of deep
neural networks (DNNs) and has been widely applied to many safety-critical
applications. However, recent studies have shown that DNNs are very vulnerable
to adversarial examples, raising serious concerns on the security of real-world
face recognition. In this work, we study sticker-based physical attacks on face
recognition for better understanding its adversarial robustness. To this end,
we first analyze in-depth the complicated physical-world conditions confronted
by attacking face recognition, including the different variations of stickers,
faces, and environmental conditions. Then, we propose a novel robust physical
attack framework, dubbed PadvFace, to model these challenging variations
specifically. Furthermore, considering the difference in attack complexity, we
propose an efficient Curriculum Adversarial Attack (CAA) algorithm that
gradually adapts adversarial stickers to environmental variations from easy to
complex. Finally, we construct a standardized testing protocol to facilitate
the fair evaluation of physical attacks on face recognition, and extensive
experiments on both dodging and impersonation attacks demonstrate the superior
performance of the proposed method.",8,2021-09-20 06:49:52
37,"Recent successful adversarial attacks on face recognition show that, despite
the remarkable progress of face recognition models, they are still far behind
the human intelligence for perception and recognition. It reveals the
vulnerability of deep convolutional neural networks (CNNs) as state-of-the-art
building block for face recognition models against adversarial examples, which
can cause certain consequences for secure systems. Gradient-based adversarial
attacks are widely studied before and proved to be successful against face
recognition models. However, finding the optimized perturbation per each face
needs to submitting the significant number of queries to the target model. In
this paper, we propose recursive adversarial attack on face recognition using
automatic face warping which needs extremely limited number of queries to fool
the target model. Instead of a random face warping procedure, the warping
functions are applied on specific detected regions of face like eyebrows, nose,
lips, etc. We evaluate the robustness of proposed method in the decision-based
black-box attack setting, where the attackers have no access to the model
parameters and gradients, but hard-label predictions and confidence scores are
provided by the target model.",8,2022-07-04 00:22:45
38,"The main finding of this work is that the standard image classification
pipeline, which consists of dictionary learning, feature encoding, spatial
pyramid pooling and linear classification, outperforms all state-of-the-art
face recognition methods on the tested benchmark datasets (we have tested on
AR, Extended Yale B, the challenging FERET, and LFW-a datasets). This
surprising and prominent result suggests that those advances in generic image
classification can be directly applied to improve face recognition systems. In
other words, face recognition may not need to be viewed as a separate object
classification problem.
  While recently a large body of residual based face recognition methods focus
on developing complex dictionary learning algorithms, in this work we show that
a dictionary of randomly extracted patches (even from non-face images) can
achieve very promising results using the image classification pipeline. That
means, the choice of dictionary learning methods may not be important. Instead,
we find that learning multiple dictionaries using different low-level image
features often improve the final classification accuracy. Our proposed face
recognition approach offers the best reported results on the widely-used face
recognition benchmark datasets. In particular, on the challenging FERET and
LFW-a datasets, we improve the best reported accuracies in the literature by
about 20% and 30% respectively.",8,2013-09-22 11:52:03
